anio,nivel_geo,departamento,mes,valor
2009,departamento,Alta Verapaz,1,8
2009,departamento,Alta Verapaz,2,18
2009,departamento,Alta Verapaz,3,10
2009,departamento,Alta Verapaz,4,8
2009,departamento,Alta Verapaz,5,10
2009,departamento,Alta Verapaz,6,5
2009,departamento,Alta Verapaz,7,12
2009,departamento,Alta Verapaz,8,10
2009,departamento,Alta Verapaz,9,9
2009,departamento,Alta Verapaz,10,12
2009,departamento,Alta Verapaz,11,16
2009,departamento,Alta Verapaz,12,11
2009,departamento,Alta Verapaz,,129
2009,departamento,Baja Verapaz,1,4
2009,departamento,Baja Verapaz,2,3
2009,departamento,Baja Verapaz,3,7
2009,departamento,Baja Verapaz,4,8
2009,departamento,Baja Verapaz,5,8
2009,departamento,Baja Verapaz,6,2
2009,departamento,Baja Verapaz,7,9
2009,departamento,Baja Verapaz,8,3
2009,departamento,Baja Verapaz,9,6
2009,departamento,Baja Verapaz,10,6
2009,departamento,Baja Verapaz,11,7
2009,departamento,Baja Verapaz,12,3
2009,departamento,Baja Verapaz,,66
2009,departamento,Chimaltenango,1,7
2009,departamento,Chimaltenango,2,6
2009,departamento,Chimaltenango,3,5
2009,departamento,Chimaltenango,4,5
2009,departamento,Chimaltenango,5,5
2009,departamento,Chimaltenango,6,5
2009,departamento,Chimaltenango,7,4
2009,departamento,Chimaltenango,8,4
2009,departamento,Chimaltenango,9,3
2009,departamento,Chimaltenango,10,3
2009,departamento,Chimaltenango,11,4
2009,departamento,Chimaltenango,12,5
2009,departamento,Chimaltenango,,56
2009,departamento,Chiquimula,1,6
2009,departamento,Chiquimula,2,9
2009,departamento,Chiquimula,3,11
2009,departamento,Chiquimula,4,8
2009,departamento,Chiquimula,5,9
2009,departamento,Chiquimula,6,7
2009,departamento,Chiquimula,7,8
2009,departamento,Chiquimula,8,6
2009,departamento,Chiquimula,9,2
2009,departamento,Chiquimula,10,6
2009,departamento,Chiquimula,11,10
2009,departamento,Chiquimula,12,9
2009,departamento,Chiquimula,,91
2009,departamento,El Progreso,1,1
2009,departamento,El Progreso,2,10
2009,departamento,El Progreso,3,4
2009,departamento,El Progreso,4,4
2009,departamento,El Progreso,5,5
2009,departamento,El Progreso,6,0
2009,departamento,El Progreso,7,5
2009,departamento,El Progreso,8,4
2009,departamento,El Progreso,9,4
2009,departamento,El Progreso,10,3
2009,departamento,El Progreso,11,5
2009,departamento,El Progreso,12,2
2009,departamento,El Progreso,,47
2009,departamento,Escuintla,1,11
2009,departamento,Escuintla,2,15
2009,departamento,Escuintla,3,13
2009,departamento,Escuintla,4,15
2009,departamento,Escuintla,5,14
2009,departamento,Escuintla,6,18
2009,departamento,Escuintla,7,8
2009,departamento,Escuintla,8,14
2009,departamento,Escuintla,9,11
2009,departamento,Escuintla,10,12
2009,departamento,Escuintla,11,12
2009,departamento,Escuintla,12,17
2009,departamento,Escuintla,,160
2009,departamento,Guatemala,1,35
2009,departamento,Guatemala,2,64
2009,departamento,Guatemala,3,99
2009,departamento,Guatemala,4,78
2009,departamento,Guatemala,5,99
2009,departamento,Guatemala,6,114
2009,departamento,Guatemala,7,93
2009,departamento,Guatemala,8,82
2009,departamento,Guatemala,9,89
2009,departamento,Guatemala,10,82
2009,departamento,Guatemala,11,91
2009,departamento,Guatemala,12,98
2009,departamento,Guatemala,,1024
2009,departamento,Huehuetenango,1,5
2009,departamento,Huehuetenango,2,7
2009,departamento,Huehuetenango,3,7
2009,departamento,Huehuetenango,4,6
2009,departamento,Huehuetenango,5,7
2009,departamento,Huehuetenango,6,13
2009,departamento,Huehuetenango,7,7
2009,departamento,Huehuetenango,8,3
2009,departamento,Huehuetenango,9,7
2009,departamento,Huehuetenango,10,3
2009,departamento,Huehuetenango,11,12
2009,departamento,Huehuetenango,12,7
2009,departamento,Huehuetenango,,84
2009,departamento,Izabal,1,15
2009,departamento,Izabal,2,2
2009,departamento,Izabal,3,8
2009,departamento,Izabal,4,17
2009,departamento,Izabal,5,6
2009,departamento,Izabal,6,9
2009,departamento,Izabal,7,6
2009,departamento,Izabal,8,3
2009,departamento,Izabal,9,4
2009,departamento,Izabal,10,4
2009,departamento,Izabal,11,6
2009,departamento,Izabal,12,6
2009,departamento,Izabal,,86
2009,departamento,Jalapa,1,7
2009,departamento,Jalapa,2,10
2009,departamento,Jalapa,3,4
2009,departamento,Jalapa,4,9
2009,departamento,Jalapa,5,3
2009,departamento,Jalapa,6,10
2009,departamento,Jalapa,7,6
2009,departamento,Jalapa,8,3
2009,departamento,Jalapa,9,7
2009,departamento,Jalapa,10,4
2009,departamento,Jalapa,11,8
2009,departamento,Jalapa,12,8
2009,departamento,Jalapa,,79
2009,departamento,Jutiapa,1,10
2009,departamento,Jutiapa,2,13
2009,departamento,Jutiapa,3,12
2009,departamento,Jutiapa,4,15
2009,departamento,Jutiapa,5,10
2009,departamento,Jutiapa,6,14
2009,departamento,Jutiapa,7,4
2009,departamento,Jutiapa,8,14
2009,departamento,Jutiapa,9,5
2009,departamento,Jutiapa,10,22
2009,departamento,Jutiapa,11,7
2009,departamento,Jutiapa,12,14
2009,departamento,Jutiapa,,140
2009,departamento,Petén,1,2
2009,departamento,Petén,2,7
2009,departamento,Petén,3,3
2009,departamento,Petén,4,6
2009,departamento,Petén,5,1
2009,departamento,Petén,6,5
2009,departamento,Petén,7,3
2009,departamento,Petén,8,8
2009,departamento,Petén,9,3
2009,departamento,Petén,10,2
2009,departamento,Petén,11,7
2009,departamento,Petén,12,5
2009,departamento,Petén,,52
2009,departamento,Quetzaltenango,1,5
2009,departamento,Quetzaltenango,2,16
2009,departamento,Quetzaltenango,3,22
2009,departamento,Quetzaltenango,4,24
2009,departamento,Quetzaltenango,5,12
2009,departamento,Quetzaltenango,6,14
2009,departamento,Quetzaltenango,7,16
2009,departamento,Quetzaltenango,8,18
2009,departamento,Quetzaltenango,9,14
2009,departamento,Quetzaltenango,10,13
2009,departamento,Quetzaltenango,11,16
2009,departamento,Quetzaltenango,12,13
2009,departamento,Quetzaltenango,,183
2009,departamento,Quiché,1,5
2009,departamento,Quiché,2,10
2009,departamento,Quiché,3,16
2009,departamento,Quiché,4,7
2009,departamento,Quiché,5,2
2009,departamento,Quiché,6,5
2009,departamento,Quiché,7,5
2009,departamento,Quiché,8,7
2009,departamento,Quiché,9,8
2009,departamento,Quiché,10,3
2009,departamento,Quiché,11,13
2009,departamento,Quiché,12,7
2009,departamento,Quiché,,88
2009,departamento,Retalhuleu,1,8
2009,departamento,Retalhuleu,2,7
2009,departamento,Retalhuleu,3,10
2009,departamento,Retalhuleu,4,13
2009,departamento,Retalhuleu,5,8
2009,departamento,Retalhuleu,6,6
2009,departamento,Retalhuleu,7,14
2009,departamento,Retalhuleu,8,10
2009,departamento,Retalhuleu,9,3
2009,departamento,Retalhuleu,10,17
2009,departamento,Retalhuleu,11,6
2009,departamento,Retalhuleu,12,9
2009,departamento,Retalhuleu,,111
2009,departamento,Sacatepéquez,1,8
2009,departamento,Sacatepéquez,2,6
2009,departamento,Sacatepéquez,3,9
2009,departamento,Sacatepéquez,4,4
2009,departamento,Sacatepéquez,5,10
2009,departamento,Sacatepéquez,6,15
2009,departamento,Sacatepéquez,7,9
2009,departamento,Sacatepéquez,8,5
2009,departamento,Sacatepéquez,9,4
2009,departamento,Sacatepéquez,10,5
2009,departamento,Sacatepéquez,11,7
2009,departamento,Sacatepéquez,12,11
2009,departamento,Sacatepéquez,,93
2009,departamento,San Marcos,1,6
2009,departamento,San Marcos,2,15
2009,departamento,San Marcos,3,17
2009,departamento,San Marcos,4,7
2009,departamento,San Marcos,5,7
2009,departamento,San Marcos,6,9
2009,departamento,San Marcos,7,8
2009,departamento,San Marcos,8,13
2009,departamento,San Marcos,9,8
2009,departamento,San Marcos,10,8
2009,departamento,San Marcos,11,16
2009,departamento,San Marcos,12,6
2009,departamento,San Marcos,,120
2009,departamento,Santa Rosa,1,14
2009,departamento,Santa Rosa,2,20
2009,departamento,Santa Rosa,3,6
2009,departamento,Santa Rosa,4,2
2009,departamento,Santa Rosa,5,11
2009,departamento,Santa Rosa,6,10
2009,departamento,Santa Rosa,7,7
2009,departamento,Santa Rosa,8,7
2009,departamento,Santa Rosa,9,8
2009,departamento,Santa Rosa,10,7
2009,departamento,Santa Rosa,11,9
2009,departamento,Santa Rosa,12,6
2009,departamento,Santa Rosa,,107
2009,departamento,Sololá,1,3
2009,departamento,Sololá,2,5
2009,departamento,Sololá,3,0
2009,departamento,Sololá,4,2
2009,departamento,Sololá,5,1
2009,departamento,Sololá,6,3
2009,departamento,Sololá,7,4
2009,departamento,Sololá,8,5
2009,departamento,Sololá,9,3
2009,departamento,Sololá,10,1
2009,departamento,Sololá,11,1
2009,departamento,Sololá,12,2
2009,departamento,Sololá,,30
2009,departamento,Suchitepéquez,1,6
2009,departamento,Suchitepéquez,2,13
2009,departamento,Suchitepéquez,3,7
2009,departamento,Suchitepéquez,4,12
2009,departamento,Suchitepéquez,5,5
2009,departamento,Suchitepéquez,6,18
2009,departamento,Suchitepéquez,7,6
2009,departamento,Suchitepéquez,8,13
2009,departamento,Suchitepéquez,9,7
2009,departamento,Suchitepéquez,10,12
2009,departamento,Suchitepéquez,11,5
2009,departamento,Suchitepéquez,12,9
2009,departamento,Suchitepéquez,,113
2009,departamento,Totonicapán,1,4
2009,departamento,Totonicapán,2,3
2009,departamento,Totonicapán,3,3
2009,departamento,Totonicapán,4,4
2009,departamento,Totonicapán,5,3
2009,departamento,Totonicapán,6,6
2009,departamento,Totonicapán,7,2
2009,departamento,Totonicapán,8,1
2009,departamento,Totonicapán,9,3
2009,departamento,Totonicapán,10,1
2009,departamento,Totonicapán,11,6
2009,departamento,Totonicapán,12,3
2009,departamento,Totonicapán,,39
2009,departamento,Zacapa,1,5
2009,departamento,Zacapa,2,3
2009,departamento,Zacapa,3,12
2009,departamento,Zacapa,4,10
2009,departamento,Zacapa,5,10
2009,departamento,Zacapa,6,8
2009,departamento,Zacapa,7,5
2009,departamento,Zacapa,8,18
2009,departamento,Zacapa,9,5
2009,departamento,Zacapa,10,10
2009,departamento,Zacapa,11,12
2009,departamento,Zacapa,12,8
2009,departamento,Zacapa,,106
2009,pais,,1,175
2009,pais,,2,262
2009,pais,,3,285
2009,pais,,4,264
2009,pais,,5,246
2009,pais,,6,296
2009,pais,,7,241
2009,pais,,8,251
2009,pais,,9,213
2009,pais,,10,236
2009,pais,,11,276
2009,pais,,12,259
2009,pais,,,3004
2010,departamento,Alta Verapaz,1,9
2010,departamento,Alta Verapaz,2,6
2010,departamento,Alta Verapaz,3,15
2010,departamento,Alta Verapaz,4,11
2010,departamento,Alta Verapaz,5,7
2010,departamento,Alta Verapaz,6,14
2010,departamento,Alta Verapaz,7,9
2010,departamento,Alta Verapaz,8,13
2010,departamento,Alta Verapaz,9,12
2010,departamento,Alta Verapaz,10,7
2010,departamento,Alta Verapaz,11,11
2010,departamento,Alta Verapaz,12,14
2010,departamento,Alta Verapaz,,128
2010,departamento,Baja Verapaz,1,2
2010,departamento,Baja Verapaz,2,6
2010,departamento,Baja Verapaz,3,8
2010,departamento,Baja Verapaz,4,5
2010,departamento,Baja Verapaz,5,1
2010,departamento,Baja Verapaz,6,12
2010,departamento,Baja Verapaz,7,4
2010,departamento,Baja Verapaz,8,5
2010,departamento,Baja Verapaz,9,8
2010,departamento,Baja Verapaz,10,14
2010,departamento,Baja Verapaz,11,5
2010,departamento,Baja Verapaz,12,4
2010,departamento,Baja Verapaz,,74
2010,departamento,Chimaltenango,1,2
2010,departamento,Chimaltenango,2,5
2010,departamento,Chimaltenango,3,1
2010,departamento,Chimaltenango,4,3
2010,departamento,Chimaltenango,5,2
2010,departamento,Chimaltenango,6,4
2010,departamento,Chimaltenango,7,6
2010,departamento,Chimaltenango,8,4
2010,departamento,Chimaltenango,9,3
2010,departamento,Chimaltenango,10,2
2010,departamento,Chimaltenango,11,2
2010,departamento,Chimaltenango,12,2
2010,departamento,Chimaltenango,,36
2010,departamento,Chiquimula,1,3
2010,departamento,Chiquimula,2,5
2010,departamento,Chiquimula,3,4
2010,departamento,Chiquimula,4,5
2010,departamento,Chiquimula,5,7
2010,departamento,Chiquimula,6,5
2010,departamento,Chiquimula,7,9
2010,departamento,Chiquimula,8,16
2010,departamento,Chiquimula,9,5
2010,departamento,Chiquimula,10,5
2010,departamento,Chiquimula,11,8
2010,departamento,Chiquimula,12,10
2010,departamento,Chiquimula,,82
2010,departamento,El Progreso,1,4
2010,departamento,El Progreso,2,20
2010,departamento,El Progreso,3,2
2010,departamento,El Progreso,4,8
2010,departamento,El Progreso,5,4
2010,departamento,El Progreso,6,5
2010,departamento,El Progreso,7,2
2010,departamento,El Progreso,8,4
2010,departamento,El Progreso,9,4
2010,departamento,El Progreso,10,2
2010,departamento,El Progreso,11,6
2010,departamento,El Progreso,12,5
2010,departamento,El Progreso,,66
2010,departamento,Escuintla,1,13
2010,departamento,Escuintla,2,13
2010,departamento,Escuintla,3,17
2010,departamento,Escuintla,4,19
2010,departamento,Escuintla,5,17
2010,departamento,Escuintla,6,16
2010,departamento,Escuintla,7,13
2010,departamento,Escuintla,8,19
2010,departamento,Escuintla,9,12
2010,departamento,Escuintla,10,17
2010,departamento,Escuintla,11,22
2010,departamento,Escuintla,12,11
2010,departamento,Escuintla,,189
2010,departamento,Guatemala,1,90
2010,departamento,Guatemala,2,113
2010,departamento,Guatemala,3,122
2010,departamento,Guatemala,4,94
2010,departamento,Guatemala,5,97
2010,departamento,Guatemala,6,94
2010,departamento,Guatemala,7,137
2010,departamento,Guatemala,8,170
2010,departamento,Guatemala,9,161
2010,departamento,Guatemala,10,138
2010,departamento,Guatemala,11,137
2010,departamento,Guatemala,12,122
2010,departamento,Guatemala,,1475
2010,departamento,Huehuetenango,1,5
2010,departamento,Huehuetenango,2,10
2010,departamento,Huehuetenango,3,5
2010,departamento,Huehuetenango,4,6
2010,departamento,Huehuetenango,5,11
2010,departamento,Huehuetenango,6,11
2010,departamento,Huehuetenango,7,8
2010,departamento,Huehuetenango,8,12
2010,departamento,Huehuetenango,9,3
2010,departamento,Huehuetenango,10,5
2010,departamento,Huehuetenango,11,8
2010,departamento,Huehuetenango,12,7
2010,departamento,Huehuetenango,,91
2010,departamento,Izabal,1,14
2010,departamento,Izabal,2,20
2010,departamento,Izabal,3,8
2010,departamento,Izabal,4,9
2010,departamento,Izabal,5,5
2010,departamento,Izabal,6,9
2010,departamento,Izabal,7,12
2010,departamento,Izabal,8,11
2010,departamento,Izabal,9,7
2010,departamento,Izabal,10,16
2010,departamento,Izabal,11,12
2010,departamento,Izabal,12,13
2010,departamento,Izabal,,136
2010,departamento,Jalapa,1,6
2010,departamento,Jalapa,2,7
2010,departamento,Jalapa,3,9
2010,departamento,Jalapa,4,2
2010,departamento,Jalapa,5,6
2010,departamento,Jalapa,6,9
2010,departamento,Jalapa,7,8
2010,departamento,Jalapa,8,10
2010,departamento,Jalapa,9,6
2010,departamento,Jalapa,10,6
2010,departamento,Jalapa,11,6
2010,departamento,Jalapa,12,5
2010,departamento,Jalapa,,80
2010,departamento,Jutiapa,1,17
2010,departamento,Jutiapa,2,9
2010,departamento,Jutiapa,3,12
2010,departamento,Jutiapa,4,16
2010,departamento,Jutiapa,5,17
2010,departamento,Jutiapa,6,19
2010,departamento,Jutiapa,7,8
2010,departamento,Jutiapa,8,20
2010,departamento,Jutiapa,9,12
2010,departamento,Jutiapa,10,10
2010,departamento,Jutiapa,11,29
2010,departamento,Jutiapa,12,11
2010,departamento,Jutiapa,,180
2010,departamento,Petén,1,6
2010,departamento,Petén,2,6
2010,departamento,Petén,3,10
2010,departamento,Petén,4,6
2010,departamento,Petén,5,6
2010,departamento,Petén,6,17
2010,departamento,Petén,7,7
2010,departamento,Petén,8,3
2010,departamento,Petén,9,7
2010,departamento,Petén,10,13
2010,departamento,Petén,11,4
2010,departamento,Petén,12,5
2010,departamento,Petén,,90
2010,departamento,Quetzaltenango,1,10
2010,departamento,Quetzaltenango,2,19
2010,departamento,Quetzaltenango,3,24
2010,departamento,Quetzaltenango,4,13
2010,departamento,Quetzaltenango,5,15
2010,departamento,Quetzaltenango,6,15
2010,departamento,Quetzaltenango,7,21
2010,departamento,Quetzaltenango,8,20
2010,departamento,Quetzaltenango,9,18
2010,departamento,Quetzaltenango,10,19
2010,departamento,Quetzaltenango,11,20
2010,departamento,Quetzaltenango,12,17
2010,departamento,Quetzaltenango,,211
2010,departamento,Quiché,1,7
2010,departamento,Quiché,2,4
2010,departamento,Quiché,3,12
2010,departamento,Quiché,4,7
2010,departamento,Quiché,5,6
2010,departamento,Quiché,6,6
2010,departamento,Quiché,7,8
2010,departamento,Quiché,8,3
2010,departamento,Quiché,9,7
2010,departamento,Quiché,10,8
2010,departamento,Quiché,11,11
2010,departamento,Quiché,12,5
2010,departamento,Quiché,,84
2010,departamento,Retalhuleu,1,6
2010,departamento,Retalhuleu,2,5
2010,departamento,Retalhuleu,3,5
2010,departamento,Retalhuleu,4,10
2010,departamento,Retalhuleu,5,11
2010,departamento,Retalhuleu,6,8
2010,departamento,Retalhuleu,7,8
2010,departamento,Retalhuleu,8,10
2010,departamento,Retalhuleu,9,12
2010,departamento,Retalhuleu,10,9
2010,departamento,Retalhuleu,11,10
2010,departamento,Retalhuleu,12,5
2010,departamento,Retalhuleu,,99
2010,departamento,Sacatepéquez,1,5
2010,departamento,Sacatepéquez,2,4
2010,departamento,Sacatepéquez,3,8
2010,departamento,Sacatepéquez,4,6
2010,departamento,Sacatepéquez,5,14
2010,departamento,Sacatepéquez,6,7
2010,departamento,Sacatepéquez,7,6
2010,departamento,Sacatepéquez,8,14
2010,departamento,Sacatepéquez,9,4
2010,departamento,Sacatepéquez,10,6
2010,departamento,Sacatepéquez,11,6
2010,departamento,Sacatepéquez,12,6
2010,departamento,Sacatepéquez,,86
2010,departamento,San Marcos,1,7
2010,departamento,San Marcos,2,9
2010,departamento,San Marcos,3,11
2010,departamento,San Marcos,4,11
2010,departamento,San Marcos,5,9
2010,departamento,San Marcos,6,10
2010,departamento,San Marcos,7,12
2010,departamento,San Marcos,8,10
2010,departamento,San Marcos,9,14
2010,departamento,San Marcos,10,9
2010,departamento,San Marcos,11,13
2010,departamento,San Marcos,12,6
2010,departamento,San Marcos,,121
2010,departamento,Santa Rosa,1,5
2010,departamento,Santa Rosa,2,7
2010,departamento,Santa Rosa,3,7
2010,departamento,Santa Rosa,4,4
2010,departamento,Santa Rosa,5,6
2010,departamento,Santa Rosa,6,8
2010,departamento,Santa Rosa,7,7
2010,departamento,Santa Rosa,8,7
2010,departamento,Santa Rosa,9,5
2010,departamento,Santa Rosa,10,15
2010,departamento,Santa Rosa,11,11
2010,departamento,Santa Rosa,12,6
2010,departamento,Santa Rosa,,88
2010,departamento,Sololá,1,5
2010,departamento,Sololá,2,1
2010,departamento,Sololá,3,3
2010,departamento,Sololá,4,4
2010,departamento,Sololá,5,3
2010,departamento,Sololá,6,0
2010,departamento,Sololá,7,4
2010,departamento,Sololá,8,4
2010,departamento,Sololá,9,5
2010,departamento,Sololá,10,3
2010,departamento,Sololá,11,6
2010,departamento,Sololá,12,0
2010,departamento,Sololá,,38
2010,departamento,Suchitepéquez,1,7
2010,departamento,Suchitepéquez,2,6
2010,departamento,Suchitepéquez,3,15
2010,departamento,Suchitepéquez,4,9
2010,departamento,Suchitepéquez,5,11
2010,departamento,Suchitepéquez,6,12
2010,departamento,Suchitepéquez,7,10
2010,departamento,Suchitepéquez,8,7
2010,departamento,Suchitepéquez,9,12
2010,departamento,Suchitepéquez,10,15
2010,departamento,Suchitepéquez,11,10
2010,departamento,Suchitepéquez,12,13
2010,departamento,Suchitepéquez,,127
2010,departamento,Totonicapán,1,2
2010,departamento,Totonicapán,2,2
2010,departamento,Totonicapán,3,7
2010,departamento,Totonicapán,4,6
2010,departamento,Totonicapán,5,1
2010,departamento,Totonicapán,6,3
2010,departamento,Totonicapán,7,2
2010,departamento,Totonicapán,8,6
2010,departamento,Totonicapán,9,3
2010,departamento,Totonicapán,10,9
2010,departamento,Totonicapán,11,5
2010,departamento,Totonicapán,12,5
2010,departamento,Totonicapán,,51
2010,departamento,Zacapa,1,9
2010,departamento,Zacapa,2,6
2010,departamento,Zacapa,3,10
2010,departamento,Zacapa,4,6
2010,departamento,Zacapa,5,13
2010,departamento,Zacapa,6,7
2010,departamento,Zacapa,7,11
2010,departamento,Zacapa,8,13
2010,departamento,Zacapa,9,6
2010,departamento,Zacapa,10,11
2010,departamento,Zacapa,11,13
2010,departamento,Zacapa,12,8
2010,departamento,Zacapa,,113
2010,pais,,1,234
2010,pais,,2,283
2010,pais,,3,315
2010,pais,,4,260
2010,pais,,5,269
2010,pais,,6,291
2010,pais,,7,312
2010,pais,,8,381
2010,pais,,9,326
2010,pais,,10,339
2010,pais,,11,355
2010,pais,,12,280
2010,pais,,,3645
2011,departamento,Alta Verapaz,1,15
2011,departamento,Alta Verapaz,2,9
2011,departamento,Alta Verapaz,3,14
2011,departamento,Alta Verapaz,4,23
2011,departamento,Alta Verapaz,5,22
2011,departamento,Alta Verapaz,6,17
2011,departamento,Alta Verapaz,7,8
2011,departamento,Alta Verapaz,8,11
2011,departamento,Alta Verapaz,9,13
2011,departamento,Alta Verapaz,10,15
2011,departamento,Alta Verapaz,11,21
2011,departamento,Alta Verapaz,12,10
2011,departamento,Alta Verapaz,,178
2011,departamento,Baja Verapaz,1,3
2011,departamento,Baja Verapaz,2,10
2011,departamento,Baja Verapaz,3,7
2011,departamento,Baja Verapaz,4,3
2011,departamento,Baja Verapaz,5,5
2011,departamento,Baja Verapaz,6,7
2011,departamento,Baja Verapaz,7,3
2011,departamento,Baja Verapaz,8,3
2011,departamento,Baja Verapaz,9,3
2011,departamento,Baja Verapaz,10,6
2011,departamento,Baja Verapaz,11,3
2011,departamento,Baja Verapaz,12,7
2011,departamento,Baja Verapaz,,60
2011,departamento,Chimaltenango,1,3
2011,departamento,Chimaltenango,2,7
2011,departamento,Chimaltenango,3,8
2011,departamento,Chimaltenango,4,4
2011,departamento,Chimaltenango,5,5
2011,departamento,Chimaltenango,6,10
2011,departamento,Chimaltenango,7,5
2011,departamento,Chimaltenango,8,6
2011,departamento,Chimaltenango,9,6
2011,departamento,Chimaltenango,10,5
2011,departamento,Chimaltenango,11,5
2011,departamento,Chimaltenango,12,1
2011,departamento,Chimaltenango,,65
2011,departamento,Chiquimula,1,4
2011,departamento,Chiquimula,2,10
2011,departamento,Chiquimula,3,10
2011,departamento,Chiquimula,4,8
2011,departamento,Chiquimula,5,9
2011,departamento,Chiquimula,6,9
2011,departamento,Chiquimula,7,15
2011,departamento,Chiquimula,8,15
2011,departamento,Chiquimula,9,13
2011,departamento,Chiquimula,10,6
2011,departamento,Chiquimula,11,8
2011,departamento,Chiquimula,12,5
2011,departamento,Chiquimula,,112
2011,departamento,El Progreso,1,2
2011,departamento,El Progreso,2,9
2011,departamento,El Progreso,3,6
2011,departamento,El Progreso,4,2
2011,departamento,El Progreso,5,4
2011,departamento,El Progreso,6,6
2011,departamento,El Progreso,7,4
2011,departamento,El Progreso,8,8
2011,departamento,El Progreso,9,6
2011,departamento,El Progreso,10,13
2011,departamento,El Progreso,11,7
2011,departamento,El Progreso,12,11
2011,departamento,El Progreso,,78
2011,departamento,Escuintla,1,25
2011,departamento,Escuintla,2,17
2011,departamento,Escuintla,3,13
2011,departamento,Escuintla,4,25
2011,departamento,Escuintla,5,19
2011,departamento,Escuintla,6,22
2011,departamento,Escuintla,7,18
2011,departamento,Escuintla,8,16
2011,departamento,Escuintla,9,21
2011,departamento,Escuintla,10,20
2011,departamento,Escuintla,11,25
2011,departamento,Escuintla,12,11
2011,departamento,Escuintla,,232
2011,departamento,Guatemala,1,109
2011,departamento,Guatemala,2,136
2011,departamento,Guatemala,3,150
2011,departamento,Guatemala,4,143
2011,departamento,Guatemala,5,161
2011,departamento,Guatemala,6,151
2011,departamento,Guatemala,7,159
2011,departamento,Guatemala,8,158
2011,departamento,Guatemala,9,170
2011,departamento,Guatemala,10,152
2011,departamento,Guatemala,11,144
2011,departamento,Guatemala,12,108
2011,departamento,Guatemala,,1741
2011,departamento,Huehuetenango,1,10
2011,departamento,Huehuetenango,2,15
2011,departamento,Huehuetenango,3,12
2011,departamento,Huehuetenango,4,6
2011,departamento,Huehuetenango,5,15
2011,departamento,Huehuetenango,6,9
2011,departamento,Huehuetenango,7,9
2011,departamento,Huehuetenango,8,6
2011,departamento,Huehuetenango,9,13
2011,departamento,Huehuetenango,10,12
2011,departamento,Huehuetenango,11,12
2011,departamento,Huehuetenango,12,8
2011,departamento,Huehuetenango,,127
2011,departamento,Izabal,1,4
2011,departamento,Izabal,2,8
2011,departamento,Izabal,3,8
2011,departamento,Izabal,4,11
2011,departamento,Izabal,5,10
2011,departamento,Izabal,6,13
2011,departamento,Izabal,7,9
2011,departamento,Izabal,8,17
2011,departamento,Izabal,9,13
2011,departamento,Izabal,10,14
2011,departamento,Izabal,11,10
2011,departamento,Izabal,12,3
2011,departamento,Izabal,,120
2011,departamento,Jalapa,1,7
2011,departamento,Jalapa,2,7
2011,departamento,Jalapa,3,11
2011,departamento,Jalapa,4,6
2011,departamento,Jalapa,5,10
2011,departamento,Jalapa,6,14
2011,departamento,Jalapa,7,10
2011,departamento,Jalapa,8,13
2011,departamento,Jalapa,9,7
2011,departamento,Jalapa,10,8
2011,departamento,Jalapa,11,4
2011,departamento,Jalapa,12,6
2011,departamento,Jalapa,,103
2011,departamento,Jutiapa,1,18
2011,departamento,Jutiapa,2,14
2011,departamento,Jutiapa,3,18
2011,departamento,Jutiapa,4,11
2011,departamento,Jutiapa,5,10
2011,departamento,Jutiapa,6,19
2011,departamento,Jutiapa,7,13
2011,departamento,Jutiapa,8,17
2011,departamento,Jutiapa,9,28
2011,departamento,Jutiapa,10,21
2011,departamento,Jutiapa,11,8
2011,departamento,Jutiapa,12,19
2011,departamento,Jutiapa,,196
2011,departamento,Petén,1,5
2011,departamento,Petén,2,6
2011,departamento,Petén,3,6
2011,departamento,Petén,4,7
2011,departamento,Petén,5,10
2011,departamento,Petén,6,10
2011,departamento,Petén,7,5
2011,departamento,Petén,8,9
2011,departamento,Petén,9,10
2011,departamento,Petén,10,7
2011,departamento,Petén,11,6
2011,departamento,Petén,12,7
2011,departamento,Petén,,88
2011,departamento,Quetzaltenango,1,36
2011,departamento,Quetzaltenango,2,22
2011,departamento,Quetzaltenango,3,18
2011,departamento,Quetzaltenango,4,17
2011,departamento,Quetzaltenango,5,22
2011,departamento,Quetzaltenango,6,23
2011,departamento,Quetzaltenango,7,13
2011,departamento,Quetzaltenango,8,19
2011,departamento,Quetzaltenango,9,28
2011,departamento,Quetzaltenango,10,24
2011,departamento,Quetzaltenango,11,20
2011,departamento,Quetzaltenango,12,16
2011,departamento,Quetzaltenango,,258
2011,departamento,Quiché,1,6
2011,departamento,Quiché,2,11
2011,departamento,Quiché,3,13
2011,departamento,Quiché,4,13
2011,departamento,Quiché,5,6
2011,departamento,Quiché,6,8
2011,departamento,Quiché,7,6
2011,departamento,Quiché,8,4
2011,departamento,Quiché,9,11
2011,departamento,Quiché,10,12
2011,departamento,Quiché,11,8
2011,departamento,Quiché,12,12
2011,departamento,Quiché,,110
2011,departamento,Retalhuleu,1,10
2011,departamento,Retalhuleu,2,12
2011,departamento,Retalhuleu,3,5
2011,departamento,Retalhuleu,4,4
2011,departamento,Retalhuleu,5,8
2011,departamento,Retalhuleu,6,13
2011,departamento,Retalhuleu,7,9
2011,departamento,Retalhuleu,8,11
2011,departamento,Retalhuleu,9,13
2011,departamento,Retalhuleu,10,12
2011,departamento,Retalhuleu,11,6
2011,departamento,Retalhuleu,12,7
